Quarter,Value,Debt,CPI
1991Q1,124000,21822,735.619036
1991Q2,123000,22486,736.269451
1991Q3,125000,23003.66667,738.87111
1991Q4,125000,23750,738.220695
1992Q1,125000,24621.33333,741.472769
1992Q2,127000,25388.33333,743.424013
1992Q3,128000,26401.33333,746.025671
1992Q4,129000,27435.33333,747.976916
1993Q1,131000,28403.33333,748.62733
1993Q2,133000,29163,753.180233
1993Q3,136000,30218.66667,757.082722
1993Q4,140000,31500,758.383551
1994Q1,148000,32613.33333,758.383551
1994Q2,154000,33998.66667,761.417085
1994Q3,160000,35256,770.517688
1994Q4,164000,36743.66667,779.61829
1995Q1,168000,37923.33333,788.718893
1995Q2,172000,39448,796.302729
1995Q3,177000,41025.66667,797.819496
1995Q4,183000,42889.33333,802.369797
1996Q1,192000,44863.66667,806.161715
1996Q2,196000,46902.66667,812.228783
1996Q3,197000,48718,816.779084
1996Q4,201000,50234.33333,822.846153
1997Q1,209000,52347.66667,820.571002
1997Q2,215000,53650,821.329386
1997Q3,218000,54988.66667,825.121303
1997Q4,221000,56610,829.671605
1998Q1,220000,57934.66667,831.188372
1998Q2,218000,58821.33333,834.98029
1998Q3,219000,59354.66667,839.530591
1998Q4,221000,60776,832.705139
1999Q1,223000,62336.66667,830.429988
1999Q2,226000,63982.66667,831.946755
1999Q3,227000,65679.33333,835.274542
1999Q4,227000,67960.66667,836.938436
2000Q1,229000,69268.66667,842.762063
2000Q2,229000,70431.66667,848.585691
2000Q3,232000,71418.33333,860.232945
2000Q4,232000,73055.66667,870.216306
2001Q1,236000,74363.33333,868.552413
2001Q2,238000,75784.33333,876.039933
2001Q3,241000,77001,881.031614
2001Q4,246000,78567.33333,886.023295
2002Q1,255000,80182.33333,891.014975
2002Q2,260000,82089.33333,900.166389
2002Q3,270000,83726.33333,904.326123
2002Q4,282000,85990.33333,910.14975
2003Q1,298000,88697.33333,913.477537
2003Q2,312000,91662,913.477537
2003Q3,339000,94986,917.637271
2003Q4,370000,99102.33333,924.292845
2004Q1,387000,102961.3333,927.620632
2004Q2,396000,106772.6667,935.108153
2004Q3,413000,110208.6667,940.93178
2004Q4,429000,114127.6667,949.251248
2005Q1,452000,118572.6667,953.410982
2005Q2,468000,122997.3333,961.730449
2005Q3,484000,126987.3333,972.545757
2005Q4,506000,131640,979.201331
2006Q1,520000,135726.3333,985.024958
2006Q2,525000,139820.6667,1000
2006Q3,538000,143703,1007
2006Q4,559000,148292,1005
2007Q1,587000,153297,1010
2007Q2,605000,158560,1020
2007Q3,611000,162613.3333,1025
2007Q4,614000,166775.6667,1037
2008Q1,616000,170522.6667,1044
2008Q2,592000,172769,1061
2008Q3,582000,173896.6667,1077
2008Q4,568000,174728.6667,1072
2009Q1,568000,175674,1075
2009Q2,578000,176996.3333,1081
2009Q3,594000,178006,1095
2009Q4,606000,179450.6667,1093
2010Q1,609000,180636.3333,1097
2010Q2,603000,181573.6667,1099
2010Q3,601000,182027.6667,1111
2010Q4,602000,182562,1137
2011Q1,605000,183217.6667,1146
2011Q2,602000,183830.6667,1157
2011Q3,613000,184085,1162
2011Q4,615000,184530.3333,1158
2012Q1,621000,185284,1164
2012Q2,630000,186646,1168
2012Q3,642000,188128,1171
2012Q4,655000,190409.6667,1169
2013Q1,672000,192878,1174
2013Q2,689000,195817,1176
2013Q3,708000,198118.6667,1187
2013Q4,719000,201112.6667,1188
2014Q1,725000,203715.3333,1192
2014Q2,736000,206175.6667,1195
2014Q3,745000,208118,1199
2014Q4,768000,210614,1197
2015Q1,791000,213685.6667,1193
